"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"14","Colorado Avalanche","82","431.0667","50","25","7","48","107","0.652","104","723","12.58","93","552","14.42","72","397","15.35","7","53","11.67","6.84","62.43","9.87","53","408","11.50","31","246","11.19","6","44","12.00","19.35","82.11","21","200","9.50","16","147","9.82","4","27","12.90","25.00","81.63","32","208","13.33","15","99","13.16","2","17","10.53","13.33","82.83","27","522","4.92","14","148","8.64","0","9","0.00","0.00","93.92","9.72","86.65","0.964"
"15","Los Angeles Kings","82","435.45","44","27","11","42","99","0.604","104","835","11.08","94","605","13.45","78","417","15.76","11","39","22.00","9.02","60.83","12.91","55","425","11.46","40","216","15.63","8","31","20.51","20.00","85.65","25","179","12.25","21","114","15.56","5","15","25.00","23.81","86.84","30","246","10.87","19","102","15.70","3","16","15.79","15.79","84.31","22","628","3.38","10","199","4.78","1","8","11.11","10.00","95.98","14.10","90.65","1.048"
"16","Edmonton Oilers","82","421.3667","49","27","6","47","104","0.634","130","661","16.43","110","476","18.77","80","346","18.78","7","53","11.67","9.17","48.49","15.91","64","387","14.19","38","213","15.14","7","39","15.22","18.42","81.69","39","143","21.43","29","96","23.20","7","23","23.33","24.14","76.04","25","244","9.29","9","117","7.14","0","16","0.00","0.00","86.32","44","452","8.87","17","132","11.41","0","14","0.00","0.00","89.39","8.75","84.68","0.934"
"17","Vancouver Canucks","82","424.0167","50","23","9","50","109","0.665","91","716","11.28","82","525","13.51","70","385","15.38","7","54","11.48","6.25","55.78","10.07","38","395","8.78","31","229","11.92","7","41","14.58","22.58","82.10","21","164","11.35","19","113","14.39","5","25","16.67","26.32","77.88","17","231","6.85","12","116","9.38","2","16","11.11","16.67","86.21","19","505","3.63","9","154","5.52","0","13","0.00","0.00","91.56","10.00","85.97","0.960"
"18","New York Rangers","82","393.85","55","23","4","51","114","0.695","125","619","16.80","112","458","19.65","76","306","19.90","8","36","18.18","9.16","45.4","16.79","71","304","18.93","47","175","21.17","7","28","20.00","14.89","84.00","35","132","20.96","25","91","21.55","6","18","25.00","24.00","80.22","36","172","17.31","22","84","20.75","1","10","9.09","4.55","88.10","39","488","7.40","13","130","9.09","1","8","11.11","7.69","93.85","10.53","88.24","0.988"
"19","Buffalo Sabres","82","397.7167","39","37","6","37","84","0.512","111","719","13.37","88","548","13.84","74","391","15.91","7","49","12.50","7.17","55.44","11.45","55","404","11.98","44","233","15.88","6","37","13.95","13.64","84.12","25","184","11.96","21","131","13.82","3","20","13.04","14.29","84.73","30","220","12.00","23","102","18.40","3","17","15.00","13.04","83.33","44","518","7.83","13","158","7.60","0","12","0.00","0.00","92.41","9.46","87.47","0.969"
"20","Philadelphia Flyers","82","400.65","38","33","11","34","87","0.530","144","682","17.43","132","462","22.22","112","300","27.18","16","40","28.57","10.12","48.67","17.21","75","382","16.41","56","194","22.40","12","33","26.67","21.43","82.99","32","147","17.88","24","102","19.05","6","20","23.08","25.00","80.39","43","235","15.47","32","92","25.81","6","13","31.58","18.75","85.87","50","468","9.65","35","105","25.00","4","7","36.36","11.43","93.33","14.29","86.67","1.010"
"21","Columbus Blue Jackets","82","387.6167","27","43","12","24","66","0.402","90","801","10.10","76","596","11.31","60","410","12.77","5","56","8.20","5.87","60.21","8.88","36","418","7.93","24","241","9.06","5","39","11.36","20.83","83.82","19","172","9.95","15","123","10.87","4","23","14.81","26.67","81.30","17","246","6.46","9","118","7.09","1","16","5.88","11.11","86.44","34","564","5.69","15","167","8.24","0","17","0.00","0.00","89.82","8.33","86.34","0.947"
"22","Detroit Red Wings","82","387.6833","41","32","9","38","91","0.555","88","798","9.93","80","584","12.05","68","401","14.50","7","49","12.50","6.56","63.64","9.35","37","454","7.54","26","247","9.52","6","40","13.04","23.08","83.81","20","199","9.13","16","137","10.46","4","18","18.18","25.00","86.86","17","255","6.25","10","110","8.33","2","22","8.33","20.00","80.00","28","540","4.93","12","153","7.27","0","9","0.00","0.00","94.12","10.29","87.78","0.981"
"23","New Jersey Devils","82","397.4333","38","39","5","38","81","0.494","97","654","12.92","81","474","14.59","63","329","16.07","3","46","6.12","4.98","48.32","9.35","38","359","9.57","26","185","12.32","2","31","6.06","7.69","83.24","17","147","10.37","15","100","13.04","2","21","8.70","13.33","79.00","21","212","9.01","11","85","11.46","0","10","0.00","0.00","88.24","39","431","8.30","17","143","10.63","1","15","6.25","5.88","89.51","4.76","86.02","0.908"
"24","St Louis Blues","82","364.8167","43","33","6","38","92","0.561","95","639","12.94","91","503","15.32","71","338","17.36","11","46","19.30","6.93","55.69","11.07","54","384","12.33","38","217","14.90","10","40","20.00","26.32","81.57","29","180","13.88","20","117","14.60","7","23","23.33","35.00","80.34","25","204","10.92","18","100","15.25","3","17","15.00","16.67","83.00","19","402","4.51","12","120","9.09","1","6","14.29","8.33","95.00","15.49","86.39","1.019"
"25","Dallas Stars","82","394.5833","52","21","9","48","113","0.689","104","654","13.72","90","486","15.63","73","353","17.14","12","44","21.43","9.27","48.5","16.05","55","350","13.58","40","192","17.24","10","35","22.22","25.00","81.77","35","137","20.35","27","85","24.11","7","17","29.17","25.93","80.00","20","213","8.58","13","107","10.83","3","18","14.29","23.08","83.18","25","475","5.00","10","158","5.95","0","9","0.00","0.00","94.30","16.44","87.54","1.040"
"26","Florida Panthers","82","496.55","52","24","6","49","110","0.671","140","706","16.55","116","516","18.35","90","386","18.91","8","51","13.56","8.72","55.05","13.67","54","368","12.80","34","216","13.60","7","38","15.56","20.59","82.41","23","173","11.73","14","124","10.14","4","26","13.33","28.57","79.03","31","195","13.72","20","92","17.86","3","12","20.00","15.00","86.96","50","507","8.98","22","162","11.96","0","13","0.00","0.00","91.98","8.89","86.79","0.957"
"27","Minnesota Wild","82","432.6167","39","33","10","36","88","0.537","76","859","8.13","66","634","9.43","54","454","10.63","3","67","4.29","3.65","64.62","5.35","26","487","5.07","19","272","6.53","3","51","5.56","15.79","81.25","13","203","6.02","11","135","7.53","1","35","2.78","9.09","74.07","13","284","4.38","8","137","5.52","2","16","11.11","25.00","88.32","29","583","4.74","12","182","6.19","0","16","0.00","0.00","91.21","5.56","85.24","0.908"
"28","San Jose Sharks","82","414.55","19","54","9","18","47","0.287","75","854","8.07","68","630","9.74","54","428","11.20","3","62","4.62","3.63","64.43","5.33","32","490","6.13","21","277","7.05","3","49","5.77","14.29","82.31","14","204","6.42","8","134","5.63","0","27","0.00","0.00","79.85","18","286","5.92","13","143","8.33","3","22","12.00","23.08","84.62","17","563","2.93","7","149","4.49","0","13","0.00","0.00","91.28","5.56","85.51","0.911"
"29","Arizona Coyotes","82","429.3167","36","41","5","34","77","0.470","94","860","9.85","81","655","11.01","61","452","11.89","7","64","9.86","5.25","66.04","7.36","38","505","7.00","22","273","7.46","6","46","11.54","27.27","83.15","21","195","9.72","12","123","8.89","5","26","16.13","41.67","78.86","17","310","5.20","10","150","6.25","1","20","4.76","10.00","86.67","34","577","5.56","17","178","8.72","1","18","5.26","5.88","89.89","11.48","85.84","0.973"
"30","Washington Capitals","82","386.9333","40","31","11","36","91","0.555","69","755","8.37","65","545","10.66","49","368","11.75","3","49","5.77","4.01","55.45","6.75","26","381","6.39","17","204","7.69","3","35","7.89","17.65","82.84","11","163","6.32","8","110","6.78","2","21","8.70","25.00","80.91","15","218","6.44","9","94","8.74","1","14","6.67","11.11","85.11","20","556","3.47","8","164","4.65","0","14","0.00","0.00","91.46","6.12","86.68","0.928"
"31","New York Islanders","82","350.75","39","27","16","38","94","0.573","66","722","8.38","60","512","10.49","49","374","11.58","10","63","13.70","5.43","52.68","9.35","36","400","8.26","29","228","11.28","8","47","14.55","27.59","79.39","15","167","8.24","12","114","9.52","4","27","12.90","33.33","76.32","21","233","8.27","17","114","12.98","4","20","16.67","23.53","82.46","17","465","3.53","7","142","4.70","2","16","11.11","28.57","88.73","20.41","83.16","1.036"
"32","Anaheim Ducks","82","516.7","27","50","5","26","59","0.360","120","1093","9.89","104","799","11.52","85","560","13.18","12","91","11.65","7.63","83.71","8.35","39","595","6.15","32","334","8.74","10","63","13.70","31.25","81.14","19","254","6.96","17","172","8.99","6","39","13.33","35.29","77.33","20","341","5.54","15","162","8.47","4","24","14.29","26.67","85.19","49","762","6.04","20","223","8.23","1","27","3.57","5.00","87.89","14.12","83.75","0.979"
