"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Tampa Bay Lightning","82","400.8","45","29","8","42","98","0.598","111","666","14.29","101","488","17.15","78","355","18.01","5","40","11.11","8.9","50.53","14.97","59","371","13.72","42","214","16.41","4","28","12.50","9.52","86.92","31","171","15.35","24","115","17.27","2","15","11.76","8.33","86.96","28","200","12.28","18","99","15.38","2","13","13.33","11.11","86.87","31","450","6.44","13","139","8.55","1","11","8.33","7.69","92.09","6.41","88.73","0.951"
"2","Nashville Predators","82","409.2333","47","30","5","44","99","0.604","93","671","12.17","79","496","13.74","60","355","14.46","7","57","10.94","7.23","55.52","11.53","57","399","12.50","37","214","14.74","6","39","13.33","16.22","81.78","24","169","12.44","18","112","13.85","3","24","11.11","16.67","78.57","33","230","12.55","19","102","15.70","3","15","16.67","15.79","85.29","22","459","4.57","9","140","6.04","0","18","0.00","0.00","87.14","11.67","83.94","0.956"
"3","Chicago Blackhawks","82","384.4333","23","53","6","22","52","0.317","91","601","13.15","82","447","15.50","65","330","16.46","3","56","5.08","6.8","47.81","12.45","46","348","11.68","33","204","13.92","2","48","4.00","6.06","76.47","20","160","11.11","14","114","10.94","1","35","2.78","7.14","69.30","26","188","12.15","19","90","17.43","1","13","7.14","5.26","85.56","24","437","5.21","10","125","7.41","0","8","0.00","0.00","93.60","4.62","83.03","0.876"
"4","Pittsburgh Penguins","82","400.0167","38","32","12","36","88","0.537","94","682","12.11","86","486","15.03","72","328","18.00","5","45","10.00","7.35","47.91","13.29","45","373","10.77","32","192","14.29","4","34","10.53","12.50","82.29","28","134","17.28","22","86","20.37","3","23","11.54","13.64","73.26","17","239","6.64","10","106","8.62","1","11","8.33","10.00","89.62","28","455","5.80","13","132","8.97","0","10","0.00","0.00","92.42","6.94","86.28","0.932"
"5","Seattle Kraken","82","367.3667","34","35","13","31","81","0.494","83","707","10.51","80","511","13.54","64","335","16.04","6","47","11.32","7.31","52.63","12.20","37","345","9.69","25","181","12.14","5","37","11.90","20.00","79.56","15","138","9.80","11","85","11.46","3","24","11.11","27.27","71.76","22","207","9.61","14","96","12.73","2","13","13.33","14.29","86.46","25","531","4.50","16","150","9.64","1","9","10.00","6.25","94.00","9.38","85.97","0.953"
"6","Vegas Golden Knights","82","369.1667","45","29","8","41","98","0.598","95","700","11.95","84","507","14.21","64","337","15.96","9","44","16.98","6.18","50.47","10.90","43","388","9.98","31","182","14.55","9","36","20.00","29.03","80.22","25","151","14.20","17","92","15.60","6","21","22.22","35.29","77.17","18","237","7.06","14","90","13.46","3","15","16.67","21.43","83.33","34","471","6.73","10","152","6.17","0","8","0.00","0.00","94.74","14.06","86.94","1.010"
"7","Ottawa Senators","82","384.7833","37","41","4","32","78","0.476","107","680","13.60","98","492","16.61","82","350","18.98","7","61","10.29","7.53","51.78","12.69","50","381","11.60","39","203","16.12","6","40","13.04","15.38","80.30","27","155","14.84","21","105","16.67","4","22","15.38","19.05","79.05","23","226","9.24","18","98","15.52","2","18","10.00","11.11","81.63","33","446","6.89","15","145","9.38","0","21","0.00","0.00","85.52","8.54","82.57","0.911"
"8","Carolina Hurricanes","82","433.6167","52","23","7","50","111","0.677","135","532","20.24","117","389","23.12","94","273","25.61","11","35","23.91","7.09","44.21","13.82","60","312","16.13","48","185","20.60","9","29","23.68","18.75","84.32","27","153","15.00","21","114","15.56","7","20","25.93","33.33","82.46","33","159","17.19","27","71","27.55","2","9","18.18","7.41","87.32","47","370","11.27","15","87","14.71","0","6","0.00","0.00","93.10","11.70","87.18","0.989"
"9","Montreal Canadiens","82","444.9167","30","36","16","26","76","0.463","86","875","8.95","72","638","10.14","64","465","12.10","7","65","9.72","4.14","74.07","5.29","38","512","6.91","31","292","9.60","7","47","12.96","22.58","83.90","17","255","6.25","16","171","8.56","5","33","13.16","31.25","80.70","21","257","7.55","15","121","11.03","2","14","12.50","13.33","88.43","30","559","5.09","12","172","6.52","0","17","0.00","0.00","90.12","10.94","86.02","0.970"
"10","Toronto Maple Leafs","82","392.8333","46","26","10","41","102","0.622","99","739","11.81","90","539","14.31","68","376","15.32","6","55","9.84","7.09","51.85","12.03","43","392","9.89","29","217","11.79","5","45","10.00","17.24","79.26","24","148","13.95","16","100","13.79","1","24","4.00","6.25","76.00","19","244","7.22","13","117","10.00","4","21","16.00","30.77","82.05","31","531","5.52","17","158","9.71","1","10","9.09","5.88","93.67","8.82","85.37","0.942"
"11","Boston Bruins","82","447.85","47","20","15","43","109","0.665","109","733","12.95","96","542","15.05","75","382","16.41","7","47","12.96","7.55","59.31","11.30","52","437","10.63","38","238","13.77","7","40","14.89","18.42","83.19","25","172","12.69","18","125","12.59","5","29","14.71","27.78","76.80","27","265","9.25","20","113","15.04","2","11","15.38","10.00","90.27","28","479","5.52","12","141","7.84","0","7","0.00","0.00","95.04","9.33","87.70","0.970"
"12","Winnipeg Jets","82","377.25","52","24","6","52","110","0.671","85","720","10.56","80","527","13.18","61","361","14.45","3","51","5.56","5.11","55.77","8.40","33","388","7.84","24","218","9.92","3","44","6.38","12.50","79.82","12","171","6.56","12","116","9.38","2","27","6.90","16.67","76.72","21","217","8.82","12","102","10.53","1","17","5.56","8.33","83.33","30","502","5.64","14","143","8.92","0","7","0.00","0.00","95.10","4.92","85.87","0.908"
"13","Calgary Flames","82","389.8833","38","39","5","38","81","0.494","122","723","14.44","107","521","17.04","82","344","19.25","11","47","18.97","6.5","54.55","10.65","53","413","11.37","39","227","14.66","11","37","22.92","28.21","83.70","22","157","12.29","18","113","13.74","7","24","22.58","38.89","78.76","31","256","10.80","21","114","15.56","4","13","23.53","19.05","88.60","45","505","8.18","21","115","15.44","0","10","0.00","0.00","91.30","13.41","86.34","0.998"
