"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","82","4030","46","25","11","43","103","0.628","3905","3598","52.05","3031","2697","52.92","2257","2047","52.44","180","154","53.89","178.82","156.01","53.41","1968","1720","53.36","1247","1085","53.47","157","137","53.40","12.59","87.37","806","683","54.13","645","540","54.43","108","98","52.43","16.74","81.85","1162","1037","52.84","602","545","52.48","49","39","55.68","8.14","92.84","1742","1691","50.74","909","863","51.30","23","17","57.50","2.53","98.03","7.98","92.48","1.005"
"2","Tampa Bay Lightning","81","3870.4667","50","23","8","48","108","0.667","3550","3426","50.89","2736","2616","51.12","1929","1894","50.46","183","148","55.29","168.55","153.06","52.41","1928","1797","51.76","1119","1063","51.28","156","129","54.74","13.94","87.86","789","679","53.75","555","505","52.36","99","92","51.83","17.84","81.78","1139","1118","50.47","564","558","50.27","57","37","60.64","10.11","93.37","1771","1746","50.36","752","758","49.80","26","19","57.78","3.46","97.49","9.49","92.19","1.017"
"3","Seattle Kraken","82","4011.1667","27","49","6","24","60","0.366","3537","3455","50.59","2634","2622","50.11","1883","1879","50.05","152","188","44.71","144.55","154.18","48.39","1680","1692","49.82","997","978","50.48","125","162","43.55","12.54","83.44","653","682","48.91","484","499","49.24","77","106","42.08","15.91","78.76","1027","1010","50.42","513","479","51.71","48","56","46.15","9.36","88.31","1676","1572","51.60","827","805","50.67","27","26","50.94","3.26","96.77","8.07","89.99","0.981"
"4","Vegas Golden Knights","82","4076.3333","43","31","8","39","94","0.573","4147","3742","52.57","3100","2664","53.78","2279","1955","53.83","184","166","52.57","187.02","168.36","52.63","2021","1905","51.48","1205","1088","52.55","152","139","52.23","12.61","87.22","847","779","52.09","615","558","52.43","102","94","52.04","16.59","83.15","1174","1126","51.04","590","530","52.68","50","45","52.63","8.47","91.51","1851","1579","53.97","950","758","55.62","31","26","54.39","3.26","96.57","8.07","91.51","0.996"
"5","Montreal Canadiens","82","3928.1333","22","49","11","19","55","0.335","3422","3871","46.92","2532","2927","46.38","1902","2167","46.74","154","195","44.13","155.42","183.32","45.88","1680","2037","45.20","974","1216","44.47","129","168","43.43","13.24","86.18","702","842","45.47","495","613","44.68","72","122","37.11","14.55","80.10","978","1195","45.01","479","603","44.27","57","46","55.34","11.90","92.37","1505","1592","48.60","826","847","49.37","25","26","49.02","3.03","96.93","8.10","91.00","0.991"
"6","Toronto Maple Leafs","81","3979.4","54","20","7","51","115","0.710","4074","3533","53.56","3070","2711","53.10","2232","1993","52.83","208","182","53.33","190.58","154.43","55.24","2239","1762","55.96","1337","1070","55.55","182","160","53.22","13.61","85.05","880","693","55.94","637","504","55.83","112","107","51.14","17.58","78.77","1359","1069","55.97","700","566","55.29","70","53","56.91","10.00","90.64","1680","1570","51.69","818","814","50.12","25","22","53.19","3.06","97.30","9.32","90.87","1.002"
"7","New York Rangers","82","4040.7333","52","24","6","48","110","0.671","3322","3741","47.03","2514","2796","47.34","1841","2002","47.91","158","148","51.63","151.6","170.27","47.10","1655","1931","46.15","983","1094","47.33","134","128","51.15","13.63","88.30","719","783","47.87","533","562","48.68","92","89","50.83","17.26","84.16","936","1148","44.91","450","532","45.82","42","39","51.85","9.33","92.67","1506","1636","47.93","779","818","48.78","24","20","54.55","3.08","97.56","8.58","92.61","1.012"
"8","Washington Capitals","82","3979.1","44","26","12","39","100","0.610","3671","3591","50.55","2807","2654","51.40","1995","1878","51.51","179","157","53.27","161.88","157.44","50.69","1821","1773","50.67","1062","1015","51.13","149","130","53.41","14.03","87.19","696","699","49.89","474","494","48.97","88","89","49.72","18.57","81.98","1125","1074","51.16","588","521","53.02","61","41","59.80","10.37","92.13","1647","1610","50.57","837","778","51.83","30","27","52.63","3.58","96.53","8.97","91.64","1.006"
"9","Chicago Blackhawks","82","4001.4667","28","42","12","22","68","0.415","3347","3932","45.98","2436","2865","45.95","1822","2135","46.04","143","192","42.69","138.68","165.72","45.56","1583","1897","45.49","970","1126","46.28","124","164","43.06","12.78","85.44","586","675","46.47","448","514","46.57","72","101","41.62","16.07","80.35","997","1222","44.93","522","612","46.03","52","63","45.22","9.96","89.71","1567","1830","46.13","778","941","45.26","19","28","40.43","2.44","97.02","7.85","91.01","0.989"
"10","Colorado Avalanche","82","3904.3833","56","19","7","52","119","0.726","4007","3572","52.87","2925","2710","51.91","2215","2038","52.08","198","153","56.41","167.99","154.35","52.12","1955","1664","54.02","1173","1032","53.20","164","125","56.75","13.98","87.89","733","731","50.07","550","537","50.60","103","84","55.08","18.73","84.36","1222","933","56.71","623","495","55.72","61","41","59.80","9.79","91.72","1830","1657","52.48","933","907","50.71","34","27","55.74","3.64","97.02","8.94","92.49","1.014"
"11","Vancouver Canucks","82","4003.1333","40","30","12","37","92","0.561","3746","3770","49.84","2791","2794","49.97","2034","2050","49.80","156","143","52.17","161.68","167.59","49.10","1826","1926","48.67","1055","1148","47.89","131","124","51.37","12.42","89.20","665","761","46.63","475","562","45.81","82","81","50.31","17.26","85.59","1161","1165","49.91","580","586","49.74","49","43","53.26","8.45","92.66","1648","1594","50.83","884","812","52.12","25","19","56.82","2.83","97.66","7.67","93.02","1.007"
"12","Edmonton Oilers","82","3984.3667","49","27","6","44","104","0.634","3948","3577","52.47","2934","2754","51.58","2161","2050","51.32","181","173","51.13","178.23","165.61","51.84","1874","1840","50.46","1122","1109","50.29","158","139","53.20","14.08","87.47","792","725","52.21","589","538","52.26","110","92","54.46","18.68","82.90","1082","1115","49.25","533","571","48.28","48","47","50.53","9.01","91.77","1846","1543","54.47","959","835","53.46","23","33","41.07","2.40","96.05","8.38","91.56","0.999"
"13","Buffalo Sabres","82","4060.85","32","39","11","29","75","0.457","3426","3638","48.50","2626","2900","47.52","1962","2159","47.61","158","200","44.13","147.33","171.63","46.19","1646","1809","47.64","996","1144","46.54","134","171","43.93","13.45","85.05","669","788","45.92","494","591","45.53","81","109","42.63","16.40","81.56","977","1021","48.90","502","553","47.58","53","62","46.09","10.56","88.79","1575","1672","48.51","883","934","48.60","24","28","46.15","2.72","97.00","8.05","90.74","0.988"
