"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"14","Ottawa Senators","82","3959.2667","33","42","7","30","73","0.445","3552","3866","47.88","2670","2888","48.04","1916","2114","47.54","147","175","45.65","154.97","175.36","46.91","1729","1928","47.28","996","1145","46.52","118","159","42.60","11.85","86.11","692","763","47.56","484","552","46.72","79","95","45.40","16.32","82.79","1037","1165","47.09","512","593","46.33","39","64","37.86","7.62","89.21","1624","1713","48.67","827","862","48.96","29","16","64.44","3.51","98.14","7.67","91.72","0.994"
"15","Detroit Red Wings","82","4007.6667","32","40","10","29","74","0.451","3327","3885","46.13","2508","2994","45.58","1905","2214","46.25","159","203","43.92","156.17","180.62","46.37","1667","2030","45.09","1016","1229","45.26","136","169","44.59","13.39","86.25","685","874","43.94","524","631","45.37","85","110","43.59","16.22","82.57","982","1156","45.93","492","598","45.14","51","59","46.36","10.37","90.13","1466","1710","46.16","788","910","46.41","23","32","41.82","2.92","96.48","8.35","90.83","0.992"
"16","Florida Panthers","82","3923.4","58","18","6","55","122","0.744","4300","3330","56.36","3224","2527","56.06","2437","1912","56.04","218","161","57.52","206.63","162.85","55.92","2278","1733","56.79","1437","1090","56.87","188","134","58.39","13.08","87.71","935","759","55.19","725","568","56.07","127","86","59.62","17.52","84.86","1343","974","57.96","712","522","57.70","61","48","55.96","8.57","90.80","1787","1401","56.05","898","716","55.64","28","27","50.91","3.12","96.23","8.95","91.58","1.005"
"17","Dallas Stars","82","3996.6833","46","30","6","41","98","0.598","3623","3769","49.01","2708","2794","49.22","1933","2011","49.01","147","159","48.04","166.77","160.88","50.90","1856","1744","51.56","1078","1063","50.35","130","130","50.00","12.06","87.77","813","705","53.56","575","523","52.37","101","82","55.19","17.57","84.32","1043","1039","50.10","503","540","48.23","29","48","37.66","5.77","91.11","1526","1718","47.04","736","844","46.58","16","29","35.56","2.17","96.56","7.60","92.09","0.997"
"18","New York Islanders","82","4031.7","37","35","10","35","84","0.512","3398","3983","46.04","2537","2960","46.15","1869","2154","46.46","159","160","49.84","159.46","178.09","47.24","1780","2076","46.16","1046","1211","46.34","130","136","48.87","12.43","88.77","725","787","47.95","547","598","47.77","87","86","50.29","15.90","85.62","1055","1289","45.01","499","613","44.87","43","50","46.24","8.62","91.84","1451","1745","45.40","737","874","45.75","26","24","52.00","3.53","97.25","8.51","92.57","1.011"
"19","Carolina Hurricanes","82","3894.7833","54","20","8","53","116","0.707","4116","3205","56.22","3169","2510","55.80","2209","1812","54.94","193","141","57.78","198.42","162.1","55.04","1984","1612","55.17","1121","983","53.28","165","122","57.49","14.72","87.59","897","709","55.85","604","527","53.40","116","87","57.14","19.21","83.49","1087","903","54.62","517","456","53.13","49","35","58.33","9.48","92.32","1915","1395","57.85","1011","741","57.71","28","19","59.57","2.77","97.44","8.74","92.22","1.010"
"20","Arizona Coyotes","82","4016.1833","25","50","7","24","57","0.348","3179","4045","44.01","2392","3110","43.48","1695","2282","42.62","157","221","41.53","141.61","188.75","42.87","1554","2009","43.61","931","1233","43.02","133","183","42.09","14.29","85.16","648","854","43.14","465","633","42.35","88","115","43.35","18.92","81.83","906","1155","43.96","466","600","43.71","45","68","39.82","9.66","88.67","1447","1834","44.10","699","959","42.16","24","36","40.00","3.43","96.25","9.26","90.32","0.996"
"21","Columbus Blue Jackets","82","4000.3167","37","38","7","33","81","0.494","3630","3971","47.76","2721","3108","46.68","1946","2348","45.32","177","214","45.27","156.43","189.69","45.19","1720","2034","45.82","1008","1322","43.26","149","177","45.71","14.78","86.61","639","839","43.23","477","646","42.48","95","110","46.34","19.92","82.97","1081","1195","47.50","531","676","43.99","54","67","44.63","10.17","90.09","1684","1757","48.94","828","937","46.91","28","37","43.08","3.38","96.05","9.10","90.89","1.000"
"22","Nashville Predators","82","3858.9667","45","30","7","41","97","0.591","3493","3534","49.71","2670","2671","49.99","1877","1952","49.02","165","156","51.40","150.51","149.87","50.11","1719","1698","50.31","1027","1055","49.33","147","131","52.88","14.31","87.58","644","611","51.31","475","470","50.26","100","84","54.35","21.05","82.13","1075","1087","49.72","552","585","48.55","47","47","50.00","8.51","91.97","1618","1648","49.54","773","822","48.46","18","24","42.86","2.33","97.08","8.79","92.01","1.008"
"23","Winnipeg Jets","82","3980.1167","39","32","11","37","89","0.543","3701","3786","49.43","2832","2885","49.54","2045","2101","49.32","156","162","49.06","177.46","178.51","49.85","1935","1944","49.88","1129","1131","49.96","137","135","50.37","12.13","88.06","773","841","47.89","559","588","48.74","90","96","48.39","16.10","83.67","1162","1103","51.30","570","543","51.21","47","39","54.65","8.25","92.82","1628","1649","49.68","836","862","49.23","19","27","41.30","2.27","96.87","7.63","92.29","0.999"
"24","Anaheim Ducks","82","4035.9667","31","37","14","27","76","0.463","3551","3877","47.81","2699","2942","47.85","1937","2099","47.99","154","186","45.29","161.89","177.81","47.66","1737","1897","47.80","1038","1138","47.70","125","146","46.13","12.04","87.17","727","778","48.31","554","569","49.33","92","95","49.20","16.61","83.30","1010","1119","47.44","484","569","45.96","33","51","39.29","6.82","91.04","1574","1745","47.42","776","872","47.09","27","40","40.30","3.48","95.41","7.95","91.14","0.991"
"25","Los Angeles Kings","82","3978.2833","44","27","11","40","99","0.604","4014","3398","54.16","3083","2525","54.98","2223","1811","55.11","155","152","50.49","182.39","161.82","52.99","1973","1783","52.53","1154","1016","53.18","128","137","48.30","11.09","86.52","794","749","51.46","565","543","50.99","97","91","51.60","17.17","83.24","1179","1034","53.28","589","473","55.46","31","46","40.26","5.26","90.27","2170","1680","56.36","984","705","58.26","27","14","65.85","2.74","98.01","6.97","91.61","0.986"
"26","New Jersey Devils","82","4040.8833","27","46","9","24","63","0.384","3865","3784","50.53","2933","2911","50.19","2112","2098","50.17","181","216","45.59","175.08","166.75","51.22","1984","1879","51.36","1178","1104","51.62","158","178","47.02","13.41","83.88","780","662","54.09","567","494","53.44","109","108","50.23","19.22","78.14","1204","1217","49.73","611","610","50.04","49","70","41.18","8.02","88.52","1927","1951","49.69","861","890","49.17","23","38","37.70","2.67","95.73","8.57","89.70","0.983"
"27","Philadelphia Flyers","82","3958.7333","25","46","11","24","61","0.372","3499","4007","46.62","2632","3004","46.70","1973","2188","47.42","159","189","45.69","155.74","178.93","46.54","1603","1960","44.99","992","1172","45.84","133","160","45.39","13.41","86.35","660","785","45.67","499","581","46.20","89","104","46.11","17.84","82.10","943","1175","44.52","493","591","45.48","44","56","44.00","8.92","90.52","1599","1829","46.65","837","912","47.86","26","29","47.27","3.11","96.82","8.06","91.36","0.994"
"28","Minnesota Wild","82","3850.7667","53","22","7","48","113","0.689","3626","3482","51.01","2745","2623","51.14","2036","1915","51.53","207","150","57.98","157.22","136.23","53.58","1793","1525","54.04","1109","938","54.18","172","126","57.72","15.51","86.57","694","602","53.55","530","443","54.47","101","86","54.01","19.06","80.59","1099","923","54.35","579","495","53.91","71","40","63.96","12.26","91.92","1627","1708","48.79","840","883","48.75","34","23","59.65","4.05","97.40","10.17","92.17","1.023"
"29","Boston Bruins","82","3900.4667","51","26","5","49","107","0.652","3864","3227","54.49","3080","2447","55.73","2369","1756","57.43","172","144","54.43","173.15","130.55","57.01","1868","1510","55.30","1207","859","58.42","145","121","54.51","12.01","85.91","727","562","56.40","565","414","57.71","97","79","55.11","17.17","80.92","1141","948","54.62","642","445","59.06","48","42","53.33","7.48","90.56","1838","1563","54.04","1037","808","56.21","27","23","54.00","2.60","97.15","7.26","91.80","0.991"
"30","St Louis Blues","82","3992.4167","49","22","11","47","109","0.665","3343","3757","47.08","2578","2963","46.53","1909","2111","47.49","199","170","53.93","162.45","181.48","47.23","1855","2001","48.11","1145","1193","48.97","171","139","55.16","14.93","88.35","675","775","46.55","515","555","48.13","102","79","56.35","19.81","85.77","1180","1226","49.04","630","638","49.68","69","60","53.49","10.95","90.60","1344","1600","45.65","677","833","44.83","28","30","48.28","4.14","96.40","10.42","91.95","1.024"
"31","Calgary Flames","82","3972.7167","50","21","11","48","111","0.677","4194","3351","55.59","3205","2594","55.27","2300","1863","55.25","196","139","58.51","185.01","151.14","55.04","2062","1615","56.08","1261","976","56.37","165","127","56.51","13.08","86.99","784","622","55.76","589","469","55.67","94","75","55.62","15.96","84.01","1278","993","56.27","672","507","57.00","71","52","57.72","10.57","89.74","1937","1582","55.04","937","787","54.35","31","12","72.09","3.31","98.48","8.52","92.54","1.011"
"32","San Jose Sharks","82","4015.5833","32","37","13","29","77","0.470","3449","4116","45.59","2607","2957","46.85","1872","2081","47.36","142","179","44.24","153.62","173.54","46.96","1727","1964","46.79","993","1076","47.99","113","151","42.80","11.38","85.97","717","747","48.98","511","501","50.49","77","91","45.83","15.07","81.84","1010","1217","45.35","482","575","45.60","36","60","37.50","7.47","89.57","1871","2355","44.27","764","893","46.11","27","27","50.00","3.53","96.98","7.59","91.40","0.990"
