"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","387.6833","27","50","5","26","59","0.360","626","88","87.68","450","71","86.37","323","59","84.55","42","5","89.36","42.3","6.02","87.55","306","42","87.93","169","31","84.50","28","5","84.85","16.57","83.87","121","29","80.67","78","22","78.00","15","3","83.33","19.23","86.36","185","13","93.43","91","9","91.00","13","2","86.67","14.29","77.78","478","29","94.28","153","13","92.17","14","0","100.00","9.15","100.00","13.00","91.53","1.045"
"2","Arizona Coyotes","82","399.2667","36","41","5","34","77","0.470","612","97","86.32","472","88","84.29","329","71","82.25","53","7","88.33","47.51","5.74","89.22","349","48","87.91","203","35","85.29","36","7","83.72","17.73","80.00","118","16","88.06","89","11","89.00","18","4","81.82","20.22","63.64","231","32","87.83","114","24","82.61","18","3","85.71","15.79","87.50","406","28","93.55","124","10","92.54","17","0","100.00","13.71","100.00","16.11","90.14","1.063"
"3","Boston Bruins","82","402.0667","47","20","15","43","109","0.665","706","106","86.95","534","96","84.76","387","79","83.05","54","6","90.00","55.68","7.93","87.53","419","51","89.15","256","40","86.49","42","5","89.36","16.41","87.50","195","35","84.78","136","28","82.93","26","5","83.87","19.12","82.14","224","16","93.33","120","12","90.91","16","0","100.00","13.33","100.00","472","34","93.28","131","21","86.18","12","0","100.00","9.16","100.00","13.95","92.41","1.064"
"4","Buffalo Sabres","82","372.65","39","37","6","37","84","0.512","626","92","87.19","472","85","84.74","347","63","84.63","37","10","78.72","41.21","7.46","84.68","295","47","86.26","178","35","83.57","23","9","71.88","12.92","74.29","93","22","80.87","71","13","84.52","12","5","70.59","16.90","61.54","202","25","88.99","107","22","82.95","11","4","73.33","10.28","81.82","487","24","95.30","167","9","94.89","14","0","100.00","8.38","100.00","10.66","84.13","0.948"
"5","Carolina Hurricanes","82","396.8","52","23","7","50","111","0.677","746","93","88.92","543","85","86.46","391","69","85.00","67","8","89.33","60.82","6.04","90.96","400","41","90.70","229","30","88.42","50","8","86.21","21.83","73.33","184","20","90.20","124","16","88.57","25","6","80.65","20.16","62.50","216","21","91.14","105","14","88.24","25","2","92.59","23.81","85.71","546","25","95.62","160","13","92.49","16","0","100.00","10.00","100.00","17.14","88.41","1.055"
"6","Columbus Blue Jackets","82","369.55","27","43","12","24","66","0.402","692","93","88.15","491","87","84.95","328","70","82.41","32","6","84.21","45.93","5.5","89.31","353","38","90.28","185","29","86.45","29","5","85.29","15.68","82.76","135","19","87.66","85","16","84.16","16","3","84.21","18.82","81.25","218","19","91.98","100","13","88.50","13","2","86.67","13.00","84.62","487","26","94.93","143","12","92.26","3","1","75.00","2.10","91.67","9.76","91.43","1.012"
"7","Calgary Flames","82","410.0333","38","39","5","38","81","0.494","742","115","86.58","547","100","84.54","363","78","82.31","45","11","80.36","59.25","8.84","87.01","404","64","86.32","210","44","82.68","36","11","76.60","17.14","75.00","183","35","83.94","122","24","83.56","25","6","80.65","20.49","75.00","221","29","88.40","88","20","81.48","11","5","68.75","12.50","75.00","527","39","93.11","151","15","90.96","9","0","100.00","5.96","100.00","12.40","85.90","0.983"
"8","Chicago Blackhawks","82","392.9667","23","53","6","22","52","0.317","615","89","87.36","458","73","86.25","314","55","85.09","39","8","82.98","49.68","4.46","91.77","347","37","90.36","188","24","88.68","32","6","84.21","17.02","75.00","164","17","90.61","107","14","88.43","23","3","88.46","21.50","78.57","183","20","90.15","81","10","89.01","9","3","75.00","11.11","70.00","413","33","92.60","125","11","91.91","7","1","87.50","5.60","90.91","12.42","85.45","0.979"
"9","Colorado Avalanche","82","457.45","50","25","7","48","107","0.652","816","108","88.31","622","96","86.63","445","76","85.41","69","6","92.00","62","9.02","87.30","445","56","88.82","262","40","86.75","51","6","89.47","19.47","85.00","191","34","84.89","138","27","83.64","41","6","87.23","29.71","77.78","254","22","92.03","124","13","90.51","10","0","100.00","8.06","100.00","571","31","94.85","179","11","94.21","18","0","100.00","10.06","100.00","15.51","92.11","1.076"
"10","Dallas Stars","82","380.3667","52","21","9","48","113","0.689","686","97","87.61","506","86","85.47","360","70","83.72","58","4","93.55","59.54","4.67","92.73","434","43","90.99","240","33","87.91","52","3","94.55","21.67","90.91","215","21","91.10","150","15","90.91","38","1","97.44","25.33","93.33","219","22","90.87","90","18","83.33","14","2","87.50","15.56","88.89","431","29","93.70","119","14","89.47","6","1","85.71","5.04","92.86","16.11","94.29","1.104"
"11","Detroit Red Wings","82","444.9","41","32","9","38","91","0.555","792","129","85.99","595","114","83.92","426","94","81.92","63","10","86.30","61.94","8.77","87.59","451","51","89.84","272","37","88.03","50","9","84.75","18.38","75.68","154","26","85.56","123","22","84.83","28","4","87.50","22.76","81.82","297","25","92.24","149","15","90.85","22","5","81.48","14.77","66.67","561","52","91.52","151","32","82.51","12","1","92.31","7.95","96.88","14.79","89.36","1.042"
"12","Edmonton Oilers","82","364.8333","49","27","6","47","104","0.634","706","76","90.28","532","68","88.67","379","51","88.14","64","5","92.75","61.27","4.78","92.77","422","30","93.36","240","18","93.02","44","3","93.62","18.33","83.33","186","9","95.38","134","7","95.04","28","1","96.55","20.90","85.71","236","21","91.83","106","11","90.60","16","2","88.89","15.09","81.82","473","38","92.56","137","17","88.96","20","1","95.24","14.60","94.12","16.89","90.20","1.071"
"13","Florida Panthers","82","445.5333","52","24","6","49","110","0.671","946","102","90.27","704","95","88.11","494","76","86.67","63","9","87.50","75.31","6.39","92.18","552","40","93.24","307","29","91.37","56","9","86.15","18.24","68.97","267","21","92.71","186","16","92.08","42","6","87.50","22.58","62.50","285","19","93.75","121","13","90.30","14","3","82.35","11.57","76.92","591","30","95.17","182","16","91.92","7","0","100.00","3.85","100.00","12.75","88.16","1.009"
"14","Los Angeles Kings","82","407.3667","44","27","11","42","99","0.604","706","98","87.81","511","87","85.45","333","65","83.67","57","7","89.06","52.41","7.54","87.42","364","42","89.66","198","29","87.22","46","7","86.79","23.23","75.86","150","20","88.24","101","15","87.07","23","5","82.14","22.77","66.67","214","22","90.68","97","14","87.39","23","2","92.00","23.71","85.71","515","28","94.84","134","12","91.78","11","0","100.00","8.21","100.00","17.12","89.23","1.063"
"15","Minnesota Wild","82","459.7833","39","33","10","36","88","0.537","1007","92","91.63","757","75","90.99","529","58","90.12","62","11","84.93","81.85","6.23","92.93","580","44","92.95","306","30","91.07","42","10","80.77","13.73","66.67","257","19","93.12","166","15","91.71","30","5","85.71","18.07","66.67","323","25","92.82","140","15","90.32","12","5","70.59","8.57","66.67","657","22","96.76","221","4","98.22","20","0","100.00","9.05","100.00","11.72","81.03","0.928"
"16","Montreal Canadiens","82","424.15","30","36","16","26","76","0.463","651","115","84.99","490","101","82.91","345","85","80.23","45","12","78.95","49.9","7.73","86.59","365","54","87.11","191","42","81.97","36","11","76.60","18.85","73.81","139","31","81.76","94","24","79.66","23","7","76.67","24.47","70.83","226","23","90.76","97","18","84.35","13","4","76.47","13.40","77.78","475","36","92.95","154","15","91.12","9","1","90.00","5.84","93.33","13.04","85.88","0.989"
"17","New Jersey Devils","82","401.45","38","39","5","38","81","0.494","750","99","88.34","495","93","84.18","368","69","84.21","55","9","85.94","53.29","7.95","87.02","413","58","87.69","236","41","85.20","45","8","84.91","19.07","80.49","168","28","85.71","125","20","86.21","22","4","84.62","17.60","80.00","245","30","89.09","111","21","84.09","23","4","85.19","20.72","80.95","494","21","95.92","130","4","97.01","10","1","90.91","7.69","75.00","14.95","86.96","1.019"
"18","Nashville Predators","82","436.5333","47","30","5","44","99","0.604","805","100","88.95","583","93","86.24","412","80","83.74","58","5","92.06","59.38","7.6","88.66","465","51","90.12","250","40","86.21","42","4","91.30","16.80","90.00","191","27","87.61","125","22","85.03","30","4","88.24","24.00","81.82","274","24","91.95","125","18","87.41","12","0","100.00","9.60","100.00","538","32","94.39","160","17","90.40","16","1","94.12","10.00","94.12","14.08","93.75","1.078"
"19","New York Islanders","82","372.8333","39","27","16","38","94","0.573","637","108","85.50","456","93","83.06","327","71","82.16","47","3","94.00","47.02","7.23","86.68","353","55","86.52","191","36","84.14","38","3","92.68","19.90","91.67","144","17","89.44","95","13","87.96","22","2","91.67","23.16","84.62","209","38","84.62","96","23","80.67","16","1","94.12","16.67","95.65","443","31","93.46","134","10","93.06","9","0","100.00","6.72","100.00","14.37","95.77","1.101"
"20","New York Rangers","82","385.2","55","23","4","51","114","0.695","807","95","89.47","612","80","88.44","413","66","86.22","65","6","91.55","62.61","8.07","88.58","430","38","91.88","245","25","90.74","50","3","94.34","20.41","88.00","194","20","90.65","128","17","88.28","34","3","91.89","26.56","82.35","236","18","92.91","117","8","93.60","16","0","100.00","13.68","100.00","576","27","95.52","168","16","91.30","15","1","93.75","8.93","93.75","15.74","90.91","1.066"
"21","Ottawa Senators","82","475.8167","37","41","4","32","78","0.476","844","98","89.60","635","87","87.95","429","72","85.63","51","6","89.47","65.23","6.14","91.40","487","38","92.76","269","31","89.67","37","5","88.10","13.75","83.87","180","17","91.37","114","14","89.06","13","5","72.22","11.40","64.29","307","21","93.60","155","17","90.12","24","0","100.00","15.48","100.00","580","32","94.77","159","13","92.44","14","0","100.00","8.81","100.00","11.89","91.67","1.036"
"22","Philadelphia Flyers","82","441.4","38","33","11","34","87","0.530","753","102","88.07","533","93","85.14","381","80","82.65","32","4","88.89","51.29","5.38","90.51","370","44","89.37","181","35","83.80","22","4","84.62","12.15","88.57","149","20","88.17","92","17","84.40","13","2","86.67","14.13","88.24","221","24","90.20","89","18","83.18","9","2","81.82","10.11","88.89","563","29","95.10","197","14","93.36","9","0","100.00","4.57","100.00","8.40","95.00","1.034"
"23","Pittsburgh Penguins","82","434.5333","38","32","12","36","88","0.537","838","134","86.21","591","121","83.01","414","89","82.31","40","12","76.92","66.83","9.04","88.08","471","69","87.22","247","44","84.88","32","11","74.42","12.96","75.00","208","29","87.76","143","24","85.63","25","8","75.76","17.48","66.67","263","40","86.80","104","20","83.87","7","3","70.00","6.73","85.00","570","34","94.37","162","12","93.10","8","1","88.89","4.94","91.67","9.66","86.52","0.962"
"24","San Jose Sharks","82","345.9333","19","54","9","18","47","0.287","539","122","81.54","383","107","78.16","248","85","74.47","42","8","84.00","40.7","7.09","85.17","296","50","85.55","142","33","81.14","34","6","85.00","23.94","81.82","118","22","84.29","71","19","78.89","18","3","85.71","25.35","84.21","178","28","86.41","71","14","83.53","16","3","84.21","22.54","78.57","382","48","88.84","105","23","82.03","8","0","100.00","7.62","100.00","16.94","90.59","1.075"
"25","Seattle Kraken","82","414","34","35","13","31","81","0.494","707","87","89.04","496","74","87.02","312","58","84.32","50","9","84.75","48.9","5.51","89.87","391","35","91.78","197","26","88.34","43","6","87.76","21.83","76.92","161","21","88.46","98","15","86.73","23","5","82.14","23.47","66.67","230","14","94.26","99","11","90.00","20","1","95.24","20.20","90.91","486","42","92.05","115","19","85.82","7","3","70.00","6.09","84.21","16.03","84.48","1.005"
"26","St Louis Blues","82","420.1667","43","33","6","38","92","0.561","714","94","88.37","519","87","85.64","361","68","84.15","45","7","86.54","52.3","8.96","85.38","409","55","88.15","224","38","85.50","35","6","85.37","15.63","84.21","151","26","85.31","102","18","85.00","20","5","80.00","19.61","72.22","258","29","89.90","122","20","85.92","15","1","93.75","12.30","95.00","499","18","96.52","135","10","93.10","10","0","100.00","7.41","100.00","12.47","89.71","1.022"
"27","Tampa Bay Lightning","82","393.5667","45","29","8","42","98","0.598","734","93","88.75","556","81","87.28","388","63","86.03","72","6","92.31","57.83","7.16","88.98","411","44","90.33","228","32","87.69","51","6","89.47","22.37","81.25","155","20","88.57","103","14","88.03","25","3","89.29","24.27","78.57","256","24","91.43","125","18","87.41","26","3","89.66","20.80","83.33","485","33","93.63","158","11","93.49","21","0","100.00","13.29","100.00","18.56","90.48","1.090"
"28","Toronto Maple Leafs","82","379.5667","46","26","10","41","102","0.622","753","125","85.76","551","107","83.74","391","79","83.19","57","9","86.36","61.44","8.81","87.46","461","60","88.48","260","36","87.84","43","7","86.00","16.54","80.56","208","26","88.89","135","18","88.24","18","4","81.82","13.33","77.78","253","34","88.15","125","18","87.41","25","3","89.29","20.00","83.33","469","42","91.78","131","21","86.18","14","0","100.00","10.69","100.00","14.58","88.61","1.032"
"29","Vancouver Canucks","82","425.2333","50","23","9","50","109","0.665","783","96","89.08","575","90","86.47","393","71","84.70","58","7","89.23","64","6.47","90.82","446","43","91.21","250","30","89.29","40","7","85.11","16.00","76.67","210","28","88.24","144","21","87.27","23","7","76.67","15.97","66.67","236","15","94.02","106","9","92.17","17","0","100.00","16.04","100.00","537","26","95.38","140","13","91.50","17","0","100.00","12.14","100.00","14.76","90.14","1.049"
"30","Vegas Golden Knights","82","425.8333","45","29","8","41","98","0.598","713","108","86.85","522","92","85.02","385","79","82.97","51","8","86.44","51.55","6.22","89.23","363","47","88.54","212","37","85.14","34","6","85.00","16.04","83.78","163","22","88.11","114","17","87.02","21","5","80.77","18.42","70.59","200","25","88.89","98","20","83.05","13","1","92.86","13.27","95.00","537","41","92.91","169","18","90.37","16","1","94.12","9.47","94.44","13.25","89.87","1.031"
"31","Winnipeg Jets","82","415.5","52","24","6","52","110","0.671","663","80","89.23","472","71","86.92","333","53","86.27","45","5","90.00","47.37","4.2","91.85","355","38","90.33","196","24","89.09","38","5","88.37","19.39","79.17","152","16","90.48","104","8","92.86","27","0","100.00","25.96","100.00","203","22","90.22","92","16","85.19","11","5","68.75","11.96","68.75","481","23","95.44","132","7","94.96","7","0","100.00","5.30","100.00","13.51","90.57","1.041"
"32","Washington Capitals","82","382.85","40","31","11","36","91","0.555","688","104","86.87","499","87","85.15","349","68","83.69","47","5","90.38","57.9","5.66","91.09","364","46","88.78","205","30","87.23","37","3","92.50","18.05","90.00","179","18","90.86","122","16","88.41","27","1","96.43","22.13","93.75","185","28","86.85","83","14","85.57","10","2","83.33","12.05","85.71","482","31","93.96","143","14","91.08","10","1","90.91","6.99","92.86","13.47","92.65","1.061"
