"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Detroit Red Wings","82","393.1","32","40","10","29","74","0.451","560","95","85.50","434","88","83.14","308","76","80.21","37","10","78.72","43.38","6.75","86.53","312","48","86.67","184","39","82.51","28","9","75.68","15.22","76.92","126","19","86.90","88","17","83.81","15","4","78.95","17.05","76.47","186","29","86.51","96","22","81.36","13","5","72.22","13.54","77.27","250","21","92.25","123","14","89.78","9","0","100.00","7.32","100.00","12.01","86.84","0.989"
"12","Edmonton Oilers","82","377.05","49","27","6","44","104","0.634","685","79","89.66","553","71","88.62","412","57","87.85","61","6","91.04","59.99","6.19","90.65","411","45","90.13","266","33","88.96","44","6","88.00","16.54","81.82","182","24","88.35","128","19","87.07","27","5","84.38","21.09","73.68","229","21","91.60","138","14","90.79","17","1","94.44","12.32","92.86","291","16","94.79","145","5","96.67","17","0","100.00","11.72","100.00","14.81","89.47","1.043"
"13","Florida Panthers","82","419.0667","58","18","6","55","122","0.744","664","108","86.01","499","94","84.15","370","76","82.96","64","8","88.89","50.56","7.11","87.67","380","46","89.20","225","34","86.87","51","8","86.44","22.67","76.47","145","30","82.86","109","24","81.95","32","6","84.21","29.36","75.00","235","16","93.63","116","10","92.06","19","2","90.48","16.38","80.00","278","25","91.75","143","12","92.26","13","0","100.00","9.09","100.00","17.30","89.47","1.068"
"14","Los Angeles Kings","82","432.8833","44","27","11","40","99","0.604","756","101","88.21","579","92","86.29","425","82","83.83","40","9","81.63","55.26","5.92","90.33","404","48","89.38","237","41","85.25","27","8","77.14","11.39","80.49","175","26","87.06","120","24","83.33","14","6","70.00","11.67","75.00","229","22","91.24","117","17","87.31","13","2","86.67","11.11","88.24","499","27","94.87","185","13","93.43","12","1","92.31","6.49","92.31","9.41","89.02","0.984"
"15","Minnesota Wild","82","431.8167","53","22","7","48","113","0.689","697","118","85.52","523","101","83.81","389","87","81.72","54","5","91.53","46.99","6.43","87.96","366","51","87.77","220","39","84.94","43","4","91.49","19.55","89.74","133","22","85.81","101","20","83.47","25","3","89.29","24.75","85.00","233","29","88.93","119","19","86.23","18","1","94.74","15.13","94.74","336","31","91.55","168","18","90.32","11","1","91.67","6.55","94.44","13.88","94.25","1.081"
"16","Montreal Canadiens","82","425.3667","22","49","11","19","55","0.335","595","104","85.12","436","88","83.21","319","71","81.79","34","12","73.91","41.53","6.68","86.15","309","59","83.97","186","40","82.30","26","11","70.27","13.98","72.50","122","36","77.22","90","28","76.27","16","10","61.54","17.78","64.29","187","23","89.05","96","12","88.89","10","1","90.91","10.42","91.67","284","24","92.21","130","11","92.20","8","1","88.89","6.15","90.91","10.66","83.10","0.938"
"17","New Jersey Devils","82","378.9333","27","46","9","24","63","0.384","541","104","83.88","397","94","80.86","271","75","78.32","36","14","72.00","35.34","8.13","81.30","318","62","83.68","166","47","77.93","30","13","69.77","18.07","72.34","97","30","76.38","70","26","72.92","15","9","62.50","21.43","65.38","221","32","87.35","96","21","82.05","15","4","78.95","15.63","80.95","292","24","92.41","105","12","89.74","6","0","100.00","5.71","100.00","13.28","81.33","0.946"
"18","Nashville Predators","82","408.6167","45","30","7","41","97","0.591","684","100","87.24","519","88","85.50","374","75","83.30","63","5","92.65","47.29","6.75","87.51","368","55","87.00","223","45","83.21","49","4","92.45","21.97","91.11","134","25","84.28","105","20","84.00","33","2","94.29","31.43","90.00","234","30","88.64","118","25","82.52","16","2","88.89","13.56","92.00","323","25","92.82","148","12","92.50","14","1","93.33","9.46","91.67","16.84","93.33","1.102"
"19","New York Islanders","82","358.5167","37","35","10","35","84","0.512","535","89","85.74","414","79","83.98","305","66","82.21","47","7","87.04","40.29","6.1","86.84","319","50","86.45","194","36","84.35","39","7","84.78","20.10","80.56","141","25","84.94","108","20","84.38","24","6","80.00","22.22","70.00","178","25","87.68","86","16","84.31","15","1","93.75","17.44","93.75","221","18","92.47","109","9","92.37","6","0","100.00","5.50","100.00","15.41","89.39","1.048"
"20","New York Rangers","82","343.9167","52","24","6","48","110","0.671","615","87","87.61","494","76","86.67","340","57","85.64","55","2","96.49","48.77","4.53","91.49","328","45","87.94","186","29","86.51","45","1","97.83","24.19","96.55","147","15","90.74","102","11","90.27","33","1","97.06","32.35","90.91","181","30","85.78","84","18","82.35","12","0","100.00","14.29","100.00","299","25","92.28","151","13","92.07","10","1","90.91","6.62","92.31","16.18","96.49","1.127"
"21","Ottawa Senators","82","396.9833","33","42","7","30","73","0.445","631","98","86.56","496","79","86.26","361","66","84.54","47","4","92.16","50.86","5.51","90.22","398","47","89.44","253","34","88.15","42","4","91.30","16.60","88.24","189","23","89.15","144","19","88.34","29","3","90.63","20.14","84.21","209","24","89.70","109","15","87.90","13","1","92.86","11.93","93.33","232","26","89.92","106","12","89.83","5","0","100.00","4.72","100.00","13.02","93.94","1.070"
"22","Philadelphia Flyers","82","422.8167","25","46","11","24","61","0.372","664","117","85.02","505","100","83.47","367","85","81.19","30","11","73.17","47.42","6.97","87.19","301","58","83.84","183","43","80.97","23","9","71.88","12.57","79.07","149","24","86.13","107","19","84.92","18","4","81.82","16.82","78.95","152","34","81.72","76","24","76.00","5","5","50.00","6.58","79.17","352","31","91.91","180","14","92.78","6","1","85.71","3.33","92.86","8.17","87.06","0.952"
"23","Pittsburgh Penguins","82","399.4167","46","25","11","43","103","0.628","691","121","85.10","525","110","82.68","391","90","81.29","50","8","86.21","56.91","8.9","86.48","430","70","86.00","273","53","83.74","41","7","85.42","15.02","86.79","176","34","83.81","135","31","81.33","21","4","84.00","15.56","87.10","254","36","87.59","138","22","86.25","20","3","86.96","14.49","86.36","257","31","89.24","112","18","86.15","9","0","100.00","8.04","100.00","12.79","91.11","1.039"
"24","San Jose Sharks","82","371.2333","32","37","13","29","77","0.470","585","116","83.45","441","100","81.52","326","80","80.30","41","11","78.85","39.47","8.37","82.50","311","57","84.51","193","42","82.13","28","11","71.79","14.51","73.81","111","26","81.02","82","21","79.61","14","7","66.67","17.07","66.67","200","31","86.58","111","21","84.09","14","4","77.78","12.61","80.95","392","35","91.80","133","15","89.86","13","0","100.00","9.77","100.00","12.58","86.25","0.988"
"25","Seattle Kraken","82","400.9","27","49","6","24","60","0.366","601","88","87.23","462","78","85.56","335","62","84.38","32","7","82.05","41.57","5.19","88.90","292","36","89.02","172","27","86.43","23","6","79.31","13.37","77.78","128","16","88.89","93","14","86.92","17","3","85.00","18.28","78.57","164","20","89.13","79","13","85.87","6","3","66.67","7.59","76.92","307","20","93.88","162","10","94.19","9","0","100.00","5.56","100.00","9.55","88.71","0.983"
"26","St Louis Blues","82","387.3","49","22","11","47","109","0.665","614","101","85.87","484","91","84.17","371","77","82.81","65","5","92.86","46.88","6.25","88.24","409","58","87.58","273","46","85.58","57","4","93.44","20.88","91.30","125","23","84.46","97","20","82.91","23","4","85.19","23.71","80.00","284","35","89.03","176","26","87.13","34","0","100.00","19.32","100.00","218","23","90.46","95","11","89.62","8","1","88.89","8.42","90.91","17.52","93.51","1.110"
"27","Tampa Bay Lightning","81","421.0167","50","23","8","48","108","0.667","683","112","85.91","559","97","85.21","411","74","84.74","62","5","92.54","54.78","7.62","87.79","394","66","85.65","250","45","84.75","50","4","92.59","20.00","91.11","170","31","84.58","124","26","82.67","29","3","90.63","23.39","88.46","224","35","86.49","126","19","86.90","21","1","95.45","16.67","94.74","389","25","93.96","159","10","94.08","11","0","100.00","6.92","100.00","15.09","93.24","1.083"
"28","Toronto Maple Leafs","81","356.6167","54","20","7","51","115","0.710","670","98","87.24","538","87","86.08","384","75","83.66","63","4","94.03","54.54","6.73","89.02","413","48","89.59","247","38","86.67","54","3","94.74","21.86","92.11","162","24","87.10","116","22","84.06","28","2","93.33","24.14","90.91","251","24","91.27","131","16","89.12","26","1","96.30","19.85","93.75","265","26","91.07","136","16","89.47","8","1","88.89","5.88","93.75","16.41","94.67","1.111"
"29","Vancouver Canucks","82","404.75","40","30","12","37","92","0.561","705","96","88.01","527","85","86.11","389","75","83.84","58","6","90.63","50.09","6.33","88.78","397","45","89.82","240","39","86.02","48","6","88.89","20.00","84.62","142","23","86.06","109","22","83.21","28","3","90.32","25.69","86.36","255","22","92.06","131","17","88.51","20","3","86.96","15.27","82.35","301","23","92.90","144","12","92.31","10","0","100.00","6.94","100.00","14.91","92.00","1.069"
"30","Vegas Golden Knights","82","364.05","43","31","8","39","94","0.573","587","96","85.94","469","82","85.12","345","67","83.74","40","7","85.11","47.99","6.7","87.75","327","52","86.28","210","38","84.68","35","6","85.37","16.67","84.21","145","26","84.80","112","23","82.96","23","6","79.31","20.54","73.91","182","26","87.50","98","15","86.73","12","0","100.00","12.24","100.00","264","19","93.29","134","6","95.71","5","1","83.33","3.73","83.33","11.59","89.55","1.011"
"31","Winnipeg Jets","82","411.7167","39","32","11","37","89","0.543","690","112","86.03","541","97","84.80","390","86","81.93","52","8","86.67","52.59","8.57","85.99","394","59","86.98","230","47","83.03","36","8","81.82","15.65","82.98","166","24","87.37","120","21","85.11","22","7","75.86","18.33","66.67","228","35","86.69","110","26","80.88","14","1","93.33","12.73","96.15","306","21","93.58","157","9","94.58","16","0","100.00","10.19","100.00","13.33","90.70","1.040"
"32","Washington Capitals","82","428.7667","44","26","12","39","100","0.610","677","123","84.63","527","107","83.12","389","85","82.07","48","9","84.21","48.29","6.34","88.39","314","48","86.74","196","36","84.48","32","8","80.00","16.33","77.78","122","18","87.14","91","14","86.67","18","6","75.00","19.78","57.14","192","30","86.49","105","22","82.68","14","2","87.50","13.33","90.91","364","40","90.10","189","17","91.75","16","0","100.00","8.47","100.00","12.34","89.41","1.018"
