"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","371.1833","31","37","14","27","76","0.463","573","99","85.27","405","90","81.82","289","74","79.61","49","4","92.45","35.09","5.65","86.14","282","50","84.94","158","39","80.20","35","4","89.74","22.15","89.74","99","23","81.15","72","18","80.00","23","3","88.46","31.94","83.33","183","27","87.14","86","21","80.37","12","1","92.31","13.95","95.24","289","16","94.75","129","9","93.48","13","0","100.00","10.08","100.00","16.96","94.59","1.115"
"2","Arizona Coyotes","82","349.8167","25","50","7","24","57","0.348","445","97","82.10","346","87","79.91","255","69","78.70","28","4","87.50","32.81","6.71","83.02","228","43","84.13","149","31","82.78","21","4","84.00","14.09","87.10","103","19","84.43","73","16","82.02","10","1","90.91","13.70","93.75","125","24","83.89","76","15","83.52","11","3","78.57","14.47","80.00","216","23","90.38","106","10","91.38","7","0","100.00","6.60","100.00","10.98","94.20","1.052"
"3","Boston Bruins","82","386.4667","51","26","5","49","107","0.652","708","127","84.79","552","116","82.63","393","96","80.37","50","6","89.29","49.81","8.18","85.90","390","67","85.34","241","46","83.97","41","6","87.23","17.01","86.96","140","32","81.40","107","29","78.68","17","5","77.27","15.89","82.76","250","35","87.72","134","17","88.74","24","1","96.00","17.91","94.12","320","24","93.02","152","15","91.02","9","0","100.00","5.92","100.00","12.72","93.75","1.065"
"4","Buffalo Sabres","82","383.4","32","39","11","29","75","0.457","555","101","84.60","439","93","82.52","326","79","80.49","47","6","88.68","35.9","7.19","83.31","260","48","84.42","161","39","80.50","30","5","85.71","18.63","87.18","95","29","76.61","68","26","72.34","13","5","72.22","19.12","80.77","165","19","89.67","93","13","87.74","17","0","100.00","18.28","100.00","295","24","92.48","165","16","91.16","17","1","94.44","10.30","93.75","14.42","92.41","1.068"
"5","Carolina Hurricanes","82","368.7","54","20","8","53","116","0.707","632","96","86.81","513","87","85.50","364","70","83.87","51","3","94.44","48.59","6.11","88.84","350","49","87.72","208","30","87.39","44","3","93.62","21.15","90.00","144","26","84.71","95","17","84.82","26","3","89.66","27.37","82.35","206","23","89.96","113","13","89.68","18","0","100.00","15.93","100.00","286","14","95.33","153","10","93.87","7","0","100.00","4.58","100.00","14.01","95.71","1.097"
"6","Columbus Blue Jackets","82","388.65","37","38","7","33","81","0.494","591","108","84.55","450","94","82.72","319","72","81.59","41","6","87.23","38.79","7.38","84.01","284","54","84.02","169","34","83.25","31","6","83.78","18.34","82.35","104","29","78.20","79","21","79.00","17","4","80.95","21.52","80.95","180","25","87.80","90","13","87.38","14","2","87.50","15.56","84.62","300","28","91.46","149","16","90.30","10","0","100.00","6.71","100.00","12.85","91.67","1.045"
"7","Calgary Flames","82","394.15","50","21","11","48","111","0.677","731","105","87.44","569","89","86.47","421","73","85.22","54","3","94.74","54.92","5.15","91.43","402","41","90.74","251","26","90.61","48","3","94.12","19.12","88.46","165","21","88.71","122","16","88.41","32","3","91.43","26.23","81.25","237","20","92.22","129","10","92.81","16","0","100.00","12.40","100.00","335","29","92.03","164","16","91.11","5","0","100.00","3.05","100.00","12.83","95.89","1.087"
"8","Chicago Blackhawks","82","421.0333","28","42","12","22","68","0.415","636","104","85.95","472","91","83.84","364","74","83.11","47","6","88.68","44.54","6.61","87.07","345","54","86.47","216","40","84.38","35","6","85.37","16.20","85.00","123","26","82.55","95","19","83.33","23","4","85.19","24.21","78.95","222","28","88.80","121","21","85.21","12","2","85.71","9.92","90.48","290","22","92.95","148","11","93.08","12","0","100.00","8.11","100.00","12.91","91.89","1.048"
"9","Colorado Avalanche","82","452.15","56","19","7","52","119","0.726","810","103","88.72","630","86","87.99","449","68","86.85","67","5","93.06","58.72","6.27","90.35","444","42","91.36","272","30","90.07","47","4","92.16","17.28","86.67","159","21","88.33","110","15","88.00","24","3","88.89","21.82","80.00","285","21","93.14","162","15","91.53","23","1","95.83","14.20","93.33","364","24","93.81","176","5","97.24","20","0","100.00","11.36","100.00","14.92","92.65","1.076"
"10","Dallas Stars","82","393.9","46","30","6","41","98","0.598","660","107","86.05","506","100","83.50","368","83","81.60","54","5","91.53","51.97","6.4","89.03","390","53","88.04","232","40","85.29","49","5","90.74","21.12","87.50","173","21","89.18","126","19","86.90","37","3","92.50","29.37","84.21","217","32","87.15","106","21","83.46","12","2","85.71","11.32","90.48","266","23","92.04","134","12","91.78","5","0","100.00","3.73","100.00","14.67","93.98","1.086"
