"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Detroit Red Wings","82","378.2833","32","40","10","29","74","0.451","98","605","13.94","84","464","15.33","75","345","17.86","4","59","6.35","5.41","49.03","9.93","38","360","9.55","30","228","11.63","4","48","7.69","13.33","78.95","21","138","13.21","19","107","15.08","4","22","15.38","21.05","79.44","17","222","7.11","11","121","8.33","0","26","0.00","0.00","78.51","31","273","10.20","18","115","13.53","0","10","0.00","0.00","91.30","5.33","82.90","0.882"
"12","Edmonton Oilers","82","423.45","49","27","6","44","104","0.634","130","716","15.37","118","568","17.20","101","417","19.50","11","52","17.46","7.83","55.52","12.37","59","407","12.66","45","248","15.36","9","40","18.37","20.00","83.87","29","157","15.59","26","113","18.71","5","27","15.63","19.23","76.11","30","250","10.71","19","135","12.34","4","13","23.53","21.05","90.37","28","320","8.05","18","168","9.68","2","12","14.29","11.11","92.86","10.89","87.53","0.984"
"13","Florida Panthers","82","428.8833","58","18","6","55","122","0.744","124","692","15.20","106","555","16.04","91","425","17.64","12","53","18.46","9.27","52.26","15.07","70","376","15.70","56","253","18.12","11","49","18.33","19.64","80.63","40","167","19.32","34","137","19.88","9","34","20.93","26.47","75.18","30","209","12.55","22","116","15.94","2","15","11.76","9.09","87.07","23","314","6.82","9","168","5.08","1","4","20.00","11.11","97.62","13.19","87.53","1.007"
"14","Los Angeles Kings","82","380.6667","44","27","11","40","99","0.604","108","627","14.69","98","473","17.16","83","339","19.67","11","53","17.19","7.95","48.89","13.99","57","342","14.29","45","213","17.44","11","41","21.15","24.44","80.75","24","148","13.95","20","109","15.50","7","24","22.58","35.00","77.98","33","194","14.54","25","104","19.38","4","17","19.05","16.00","83.65","26","380","6.40","10","126","7.35","0","12","0.00","0.00","90.48","13.25","84.37","0.976"
"15","Minnesota Wild","82","437.6167","53","22","7","48","113","0.689","91","763","10.66","80","589","11.96","59","433","11.99","2","63","3.08","4.6","53.51","7.91","35","393","8.18","24","240","9.09","2","47","4.08","8.33","80.42","14","137","9.27","8","102","7.27","1","31","3.13","12.50","69.61","21","256","7.58","16","138","10.39","1","16","5.88","6.25","88.41","31","372","7.69","15","189","7.35","0","15","0.00","0.00","92.06","3.39","85.45","0.888"
"16","Montreal Canadiens","82","435.0167","22","49","11","19","55","0.335","129","802","13.86","115","615","15.75","96","449","17.61","6","69","8.00","7.09","57.98","10.89","58","425","12.01","47","268","14.92","6","53","10.17","12.77","80.22","23","164","12.30","20","126","13.70","4","22","15.38","20.00","82.54","35","261","11.82","27","142","15.98","2","31","6.06","7.41","78.17","33","383","7.93","15","178","7.77","0","15","0.00","0.00","91.57","6.25","84.63","0.909"
"17","New Jersey Devils","82","347.85","27","46","9","24","63","0.384","91","460","16.52","75","371","16.82","63","265","19.21","6","42","12.50","4.94","37.15","11.73","39","258","13.13","25","155","13.89","5","36","12.20","20.00","76.77","16","106","13.11","13","77","14.44","4","21","16.00","30.77","72.73","23","152","13.14","12","78","13.33","1","15","6.25","8.33","80.77","33","252","11.58","16","107","13.01","0","5","0.00","0.00","95.33","9.52","84.15","0.937"
"18","Nashville Predators","82","462.5333","45","30","7","41","97","0.591","85","837","9.22","71","636","10.04","52","448","10.40","2","59","3.28","4.06","60.56","6.28","41","489","7.74","25","288","7.99","2","47","4.08","8.00","83.68","14","159","8.09","11","116","8.66","2","22","8.33","18.18","81.03","27","330","7.56","14","172","7.53","0","25","0.00","0.00","85.47","24","359","6.27","11","159","6.47","0","12","0.00","0.00","92.45","3.85","86.83","0.907"
"19","New York Islanders","82","363.7833","37","35","10","35","84","0.512","103","585","14.97","91","439","17.17","70","320","17.95","5","34","12.82","6.39","40.05","13.75","54","333","13.95","38","180","17.43","5","25","16.67","13.16","86.11","24","117","17.02","19","80","19.19","5","15","25.00","26.32","81.25","30","216","12.20","19","100","15.97","0","10","0.00","0.00","90.00","22","261","7.77","8","138","5.48","0","9","0.00","0.00","93.48","7.14","89.38","0.965"
"20","New York Rangers","82","382.5167","52","24","6","48","110","0.671","103","645","13.77","89","492","15.32","69","364","15.94","8","40","16.67","7.41","46.2","13.81","56","353","13.69","39","214","15.42","7","28","20.00","17.95","86.92","31","143","17.82","25","110","18.52","5","17","22.73","20.00","84.55","25","210","10.64","14","104","11.86","2","11","15.38","14.29","89.42","31","301","9.34","16","144","10.00","1","12","7.69","6.25","91.67","11.59","89.01","1.006"
"21","Ottawa Senators","82","415.2167","33","42","7","30","73","0.445","121","735","14.14","101","582","14.79","79","444","15.11","9","49","15.52","8.51","56.92","13.01","70","417","14.37","44","274","13.84","8","40","16.67","18.18","85.40","38","164","18.81","28","135","17.18","5","25","16.67","17.86","81.48","32","253","11.23","16","139","10.32","3","15","16.67","18.75","89.21","18","321","5.31","8","169","4.52","0","9","0.00","0.00","94.67","11.39","88.96","1.004"
"22","Philadelphia Flyers","82","384.8667","25","46","11","24","61","0.372","95","663","12.53","87","506","14.67","72","385","15.75","6","57","9.52","5.98","50.8","10.53","48","361","11.74","38","232","14.07","6","36","14.29","15.79","84.48","25","153","14.04","21","113","15.67","5","17","22.73","23.81","84.96","23","208","9.96","17","119","12.50","1","19","5.00","5.88","84.03","20","301","6.23","10","150","6.25","0","20","0.00","0.00","86.67","8.33","85.19","0.935"
"23","Pittsburgh Penguins","82","356.05","46","25","11","43","103","0.628","86","568","13.15","77","437","14.98","67","305","18.01","3","33","8.33","4.74","40.03","10.59","38","281","11.91","28","155","15.30","3","25","10.71","10.71","83.87","20","97","17.09","16","66","19.51","1","16","5.88","6.25","75.76","18","184","8.91","12","89","11.88","2","9","18.18","16.67","89.89","18","294","5.77","10","149","6.29","0","8","0.00","0.00","94.63","4.48","89.18","0.937"
"24","San Jose Sharks","82","393.9","32","37","13","29","77","0.470","110","600","15.49","102","458","18.21","91","322","22.03","4","33","10.81","5.27","42.99","10.92","48","353","11.97","40","217","15.56","3","30","9.09","7.50","86.18","20","158","11.24","18","119","13.14","2","17","10.53","11.11","85.71","28","195","12.56","22","98","18.33","1","13","7.14","4.55","86.73","28","382","6.83","14","105","11.76","1","3","25.00","7.14","97.14","4.40","89.75","0.941"
"25","Seattle Kraken","82","359.6333","27","49","6","24","60","0.366","83","613","11.93","73","473","13.37","62","339","15.46","8","57","12.31","6.12","45.27","11.92","49","343","12.50","39","199","16.39","7","45","13.46","17.95","77.39","24","128","15.79","23","88","20.72","5","28","15.15","21.74","68.18","25","215","10.42","16","111","12.60","2","17","10.53","12.50","84.68","16","283","5.35","7","140","4.76","1","12","7.69","14.29","91.43","12.90","83.19","0.961"
"26","St Louis Blues","82","374.8333","49","22","11","47","109","0.665","109","542","16.74","98","411","19.25","87","291","23.02","9","35","20.45","7.7","40.48","15.97","50","310","13.89","38","184","17.12","8","29","21.62","21.05","84.24","27","126","17.65","23","90","20.35","5","17","22.73","21.74","81.11","23","184","11.11","15","94","13.76","3","12","20.00","20.00","87.23","22","241","8.37","14","106","11.67","0","6","0.00","0.00","94.34","10.34","87.97","0.983"
"27","Tampa Bay Lightning","81","425.5167","50","23","8","48","108","0.667","96","652","12.83","80","484","14.18","65","358","15.37","7","49","12.50","7.1","45.35","13.53","55","380","12.64","38","219","14.79","6","41","12.77","15.79","81.28","29","147","16.48","25","105","19.23","5","26","16.13","20.00","75.24","26","233","10.04","13","114","10.24","1","15","6.25","7.69","86.84","26","353","6.86","10","139","6.71","1","8","11.11","10.00","94.24","10.77","86.31","0.971"
"28","Toronto Maple Leafs","81","382.35","54","20","7","51","115","0.710","147","506","22.51","131","410","24.21","101","312","24.46","13","42","23.64","9.8","38.11","20.45","81","263","23.55","57","176","24.46","13","36","26.53","22.81","79.55","37","107","25.69","28","79","26.17","10","17","37.04","35.71","78.48","44","156","22.00","29","97","23.02","3","19","13.64","10.34","80.41","39","253","13.36","21","134","13.55","0","6","0.00","0.00","95.52","12.87","86.54","0.994"
"29","Vancouver Canucks","82","378.15","40","30","12","37","92","0.561","92","666","12.14","79","512","13.37","64","370","14.75","5","58","7.94","6.9","51.64","11.79","44","374","10.53","31","232","11.79","5","48","9.43","16.13","79.31","16","137","10.46","13","105","11.02","2","29","6.45","15.38","72.38","28","237","10.57","18","127","12.41","3","19","13.64","16.67","85.04","14","288","4.64","7","136","4.90","0","10","0.00","0.00","92.65","7.81","84.32","0.921"
"30","Vegas Golden Knights","82","341.05","43","31","8","39","94","0.573","82","595","12.11","78","430","15.35","65","308","17.43","10","47","17.54","6.15","43.17","12.46","41","351","10.46","34","177","16.11","9","35","20.45","26.47","80.23","24","147","14.04","19","110","14.73","7","28","20.00","36.84","74.55","17","204","7.69","15","67","18.29","2","7","22.22","13.33","89.55","18","243","6.90","10","129","7.19","0","12","0.00","0.00","90.70","15.38","84.74","1.001"
"31","Winnipeg Jets","82","380.65","39","32","11","37","89","0.543","106","660","13.84","94","538","14.87","78","399","16.35","9","58","13.43","9.26","53.49","14.76","69","382","15.30","56","243","18.73","8","46","14.81","14.29","81.07","37","163","18.50","32","125","20.38","5","31","13.89","15.63","75.20","32","219","12.75","24","118","16.90","3","15","16.67","12.50","87.29","18","284","5.96","6","155","3.73","0","12","0.00","0.00","92.26","11.54","85.46","0.970"
"32","Washington Capitals","82","373.3667","44","26","12","39","100","0.610","92","559","14.13","75","421","15.12","59","300","16.43","8","45","15.09","6.14","42.03","12.75","46","304","13.14","30","186","13.89","6","38","13.64","20.00","79.57","22","141","13.50","16","96","14.29","3","25","10.71","18.75","73.96","24","163","12.83","14","90","13.46","3","13","18.75","21.43","85.56","24","255","8.60","12","114","9.52","1","7","12.50","8.33","93.86","13.56","85.00","0.986"
