"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","379.05","31","37","14","27","76","0.463","81","665","10.86","74","539","12.07","62","399","13.45","6","43","12.24","5.5","50.1","9.89","34","370","8.42","30","241","11.07","5","32","13.51","16.67","86.72","17","144","10.56","16","101","13.68","5","17","22.73","31.25","83.17","17","226","7.00","14","140","9.09","0","15","0.00","0.00","89.29","17","312","5.17","9","153","5.56","0","10","0.00","0.00","93.46","9.68","89.22","0.989"
"2","Arizona Coyotes","82","419.7333","25","50","7","24","57","0.348","88","779","10.15","76","618","10.95","58","440","11.65","3","63","4.55","4.58","56.83","7.46","40","415","8.79","27","246","9.89","2","48","4.00","7.41","80.49","23","182","11.22","18","123","12.77","2","29","6.45","11.11","76.42","17","233","6.80","9","123","6.82","0","19","0.00","0.00","84.55","24","358","6.28","12","193","5.85","1","15","6.25","8.33","92.23","5.17","85.68","0.909"
"3","Boston Bruins","82","447.2167","51","26","5","49","107","0.652","100","678","12.85","90","510","15.00","72","374","16.14","5","49","9.26","7.5","46.73","13.83","59","350","14.43","41","204","16.73","5","38","11.63","12.20","81.37","23","136","14.47","18","98","15.52","4","24","14.29","22.22","75.51","36","214","14.40","23","106","17.83","1","14","6.67","4.35","86.79","18","323","5.28","8","167","4.57","0","10","0.00","0.00","94.01","6.94","86.90","0.938"
"4","Buffalo Sabres","82","356.4667","32","39","11","29","75","0.457","90","597","13.10","80","479","14.31","67","343","16.34","6","50","10.71","5.81","44.53","11.55","38","332","10.27","28","214","11.57","5","41","10.87","17.86","80.84","16","150","9.64","14","111","11.20","5","24","17.24","35.71","78.38","22","182","10.78","14","103","11.97","0","17","0.00","0.00","83.50","26","266","8.90","15","125","10.71","0","9","0.00","0.00","92.80","8.96","85.42","0.944"
"5","Carolina Hurricanes","82","482.3667","54","20","8","53","116","0.707","138","526","20.78","124","415","23.01","106","291","26.70","4","34","10.53","8.19","40.41","16.85","67","284","19.09","53","171","23.66","3","28","9.68","5.66","83.63","36","127","22.09","33","89","27.05","3","20","13.04","9.09","77.53","31","157","16.49","20","82","19.61","0","8","0.00","0.00","90.24","36","235","13.28","18","118","13.24","1","6","14.29","5.56","94.92","3.77","88.32","0.921"
"6","Columbus Blue Jackets","82","393.0833","37","38","7","33","81","0.494","141","632","18.24","125","483","20.56","99","357","21.71","7","51","12.07","8.1","47.8","14.50","66","355","15.68","48","223","17.71","7","45","13.46","14.58","79.82","29","143","16.86","24","113","17.52","5","28","15.15","20.83","75.22","37","212","14.86","24","110","17.91","2","17","10.53","8.33","84.55","42","274","13.29","19","131","12.67","0","6","0.00","0.00","95.42","7.07","85.71","0.928"
"7","Calgary Flames","82","433.0167","50","21","11","48","111","0.677","119","610","16.32","105","454","18.78","82","334","19.71","7","42","14.29","8.17","41.12","16.58","60","327","15.50","41","195","17.37","7","30","18.92","17.07","84.62","27","109","19.85","21","76","21.65","5","14","26.32","23.81","81.58","33","218","13.15","20","119","14.39","2","16","11.11","10.00","86.55","27","290","8.52","15","136","9.93","0","12","0.00","0.00","91.18","8.54","87.43","0.960"
"8","Chicago Blackhawks","82","372.6333","28","42","12","22","68","0.415","83","662","11.14","73","487","13.04","62","360","14.69","2","53","3.64","5.93","44.97","11.66","47","338","12.21","33","204","13.92","2","36","5.26","6.06","82.35","22","119","15.60","18","88","16.98","2","18","10.00","11.11","79.55","25","219","10.25","15","116","11.45","0","18","0.00","0.00","84.48","14","325","4.13","8","155","4.91","0","17","0.00","0.00","89.03","3.23","85.28","0.885"
"9","Colorado Avalanche","82","393.3667","56","19","7","52","119","0.726","103","672","13.29","91","522","14.85","82","373","18.02","6","48","11.11","5.87","52.24","10.11","49","362","11.92","41","218","15.83","6","37","13.95","14.63","83.03","22","181","10.84","20","127","13.61","2","27","6.90","10.00","78.74","27","181","12.98","21","91","18.75","4","10","28.57","19.05","89.01","19","301","5.94","13","152","7.88","0","10","0.00","0.00","93.42","7.32","87.13","0.944"
"10","Dallas Stars","82","361.1667","46","30","6","41","98","0.598","86","543","13.67","77","418","15.56","63","300","17.36","7","46","13.21","5.43","34.54","13.59","48","274","14.91","37","162","18.59","7","33","17.50","18.92","79.63","21","94","18.26","18","62","22.50","4","14","22.22","22.22","77.42","27","180","13.04","19","100","15.97","3","19","13.64","15.79","81.00","17","268","5.96","7","136","4.90","0","13","0.00","0.00","90.44","11.11","84.67","0.958"
